cons,income,price,temp
0.386,78,0.27,41
0.374,79,0.282,56
0.39299999999999996,81,0.27699999999999997,63
0.425,80,0.28,68
0.406,76,0.272,69
0.344,78,0.262,65
0.327,82,0.275,61
0.28800000000000003,79,0.267,47
0.26899999999999996,76,0.265,32
0.256,79,0.27699999999999997,24
0.28600000000000003,82,0.282,28
0.298,85,0.27,26
0.32899999999999996,86,0.272,32
0.318,83,0.287,40
0.381,84,0.27699999999999997,55
0.381,82,0.287,63
0.47,80,0.28,72
0.44299999999999995,78,0.27699999999999997,72
0.386,84,0.27699999999999997,67
0.342,86,0.27699999999999997,60
0.319,85,0.292,44
0.307,87,0.287,40
0.284,94,0.27699999999999997,32
0.326,92,0.285,27
0.309,95,0.282,28
0.359,96,0.265,33
0.376,94,0.265,41
0.41600000000000004,96,0.265,52
0.43700000000000006,91,0.268,64
0.5479999999999999,90,0.26,71
