i,ad_campaign,revenue0,revenue1
1,0,5.315634947241605,8.359303940419995
2,1,3.977798784175997,8.751484541662391
3,0,4.693795987371628,9.025253099959219
4,0,5.827974642607246,8.540666779131225
5,0,5.230094735364384,8.910164575242488
6,0,5.762011180312025,8.442209581413355
7,0,4.777671857389641,6.505113102143646
8,0,4.799241931070003,8.112789651533435
9,0,5.186561390988285,8.68974620442361
10,1,6.410051647208256,12.703277529740518
11,0,5.198299720126769,8.087852693709452
12,1,6.119008645807459,10.501646582095097
13,0,4.329337713710969,7.892098810329996
14,1,6.37756378632092,11.618300878558651
15,0,5.121821270991437,8.402486348114076
16,1,7.129483907911919,12.056371204164641
17,0,6.198917879901507,10.359256449895277
18,1,6.1851564174839435,11.554649133859668
19,0,4.624715049909886,9.529373758250868
20,0,4.361269592545778,8.472326291106283
21,1,6.423494354064113,12.082544150164324
22,1,6.077340068348559,9.449901727732302
23,0,4.656146324428924,8.258465604724552
24,1,6.043596856834247,11.463879060481307
25,1,5.379999156051871,11.190950828855426
26,1,6.698032034072219,12.74247412877948
27,0,4.552871435214001,7.151993243425075
28,0,6.224507704805498,10.048513323255905
29,0,5.4034916417908,7.841186210771711
30,1,6.593578523237067,13.548456598246101
31,0,3.905088154258958,5.57313648774171
32,0,5.169382433058668,6.408693872659885
33,1,6.740556451096275,10.089835185272175
34,1,5.046299398192065,9.155743814029018
35,1,5.733781493996378,9.61466609543665
36,0,5.032614546693359,9.988693450397001
37,1,4.626882679753244,9.300383181675059
38,1,6.3151593920422915,9.972483602664855
39,0,5.846160647585034,9.960543624364826
40,1,5.140484059168013,9.55396012034642
41,1,6.350545978664107,10.113692602122711
42,1,4.6877165887625685,10.563555516411869
43,0,4.961304490733949,8.584666667311982
44,1,4.384227645296705,8.949270962341476
45,0,6.121417708235664,10.528957708476893
46,0,5.408900537936828,8.538002117647553
47,1,5.9753830441242215,12.592332642981521
48,0,4.224838380830841,7.727579262830745
49,0,6.273755930158776,10.832561470778636
50,0,6.967101749254734,10.076504445680163
51,0,3.142018135553248,4.922273738574216
52,1,7.23616403045282,14.685532679514218
53,0,6.627650753148906,9.081876585166338
54,0,5.338011696574476,8.139173833685579
55,0,3.800731967664814,6.100333462743559
56,0,5.863345317544022,8.659950868579463
57,1,5.8190796979218495,11.061749139003645
58,0,4.396079372206743,7.597909551080747
59,1,4.769941864333038,10.43096215193173
60,1,6.550537495976215,13.342695704951781
61,0,5.7928068659193475,8.67234229413084
62,0,4.376469270320208,6.143348534873781
63,1,6.520576337073371,10.338258210563739
64,0,3.8556586103768575,6.189904092177731
65,0,5.801861031871344,7.127665224252412
66,1,6.046567298424145,11.87159712286313
67,1,5.813430228092651,10.315216664461573
68,1,5.898254127470855,10.587269149168003
69,1,6.868886157005868,11.866994674167865
70,1,6.750411639865008,10.353791215269576
71,1,6.529465324352709,10.668148963576668
72,0,5.137701209997386,8.812412735685358
73,0,5.077821127912706,8.696360258699
74,1,6.618380261998524,11.175208331297886
75,0,5.232494559178738,10.043029473304195
76,0,5.682551406864485,7.376824484306748
77,1,5.68988322648194,10.34489601632696
78,0,2.565162235892861,5.3343224927573925
79,1,7.038824601859414,9.245739601712874
80,1,8.186979646974258,15.124508460590338
81,1,6.441364443568582,11.807696458108639
82,1,5.8998447667165,9.855255384808709
83,1,5.863555256103967,12.914728698961412
84,0,4.88094581222519,8.466607812397573
85,0,5.017409408300004,8.446935548321969
86,1,4.877981271253112,9.270982873053066
87,0,4.482905542079772,7.589128266114989
88,1,5.002973172349737,8.477292856120378
89,1,6.248799161387771,12.043825255812616
90,1,5.703358847629137,10.328920528785916
91,0,5.49521132397796,8.629259520532583
92,1,5.825296840257499,12.027351702457205
93,0,5.986335187821242,9.2710832986703
94,1,6.213533901335442,11.47600134679871
95,0,7.190699728969733,10.467199033791916
96,0,3.1036390771089075,5.370367473213594
97,1,5.353083311745092,11.189088031179361
98,1,6.901486891648711,13.444846002453195
99,0,7.528325706806398,11.28713136690433
100,1,5.75136522228454,11.636274036749423
